cik,name
1511550,"Asset Management Group, Inc."
1068855,"Asset Management One Co., Ltd."
2110759,Asset One Wealth Management LLC
811407,ASSET PLANNING SERVICES INC /LA/ /ADV
2048547,"Asset Planning,Inc"
1870300,Asset Value Investors Ltd
1344551,"ASSETMARK, INC"
7789,Associated Banc-Corp
2055492,"AssuredPartners Investment Advisors, LLC"
2040915,Aster Capital Management (DIFC) Ltd
1931642,Astoria Portfolio Advisors LLC.
1777914,"Astoria Strategic Wealth, Inc."
2054825,Astra Wealth Partners LLC
1671122,"Atairos Group, Inc."
1671176,"Atairos Partners GP, Inc."
2053756,Atala Financial Inc
1662906,"Atalan Capital Partners, LP"
700529,"ATALANTA SOSNOFF CAPITAL, LLC"
1741369,"Ategra Capital Management, LLC"
1921093,Athena Investment Management
2128243,"Athena Wealth Management, LLC"
1681662,Athos Capital Ltd
1599731,Atika Capital Management LLC
1423065,Ativo Capital Management LLC
2019038,"Atlanta Consulting Group Advisors, LLC"
2011145,"Atlantic Edge Private Wealth Management, LLC"
2012511,"ATLANTIC FAMILY WEALTH, LLC"
1063296,"ATLANTIC INVESTMENT MANAGEMENT, INC."
